"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","885","Forgotten Password link displayed test","chromium","2026-09-01","passed","2026-09-01","","LoginPage.spec.ts","",""
"","1459","home page account header test","chromium","2026-09-01","passed","2026-09-01","","HomePage.spec.ts","",""
"","1590","home page title test","chromium","2026-09-01","passed","2026-09-01","","HomePage.spec.ts","",""
"","1701","home page section list test","chromium","2026-09-01","passed","2026-09-01","","HomePage_WO_Fixtures.spec.ts","",""
"","1448","home page section count test","chromium","2026-09-01","passed","2026-09-01","","HomePage.spec.ts","",""
"","935","login page title test","chromium","2026-09-01","passed","2026-09-01","","LoginPage.spec.ts","",""
"","2057","home page title test","chromium","2026-09-01","passed","2026-09-01","","HomePage_WO_Fixtures.spec.ts","",""
"","828","Forgotten Password link displayed test","chromium","2026-09-01","passed","2026-09-01","","LoginPage_WO_Fixtures.spec.ts","",""
"","1550","home page url test","chromium","2026-09-01","passed","2026-09-01","","HomePage.spec.ts","",""
"","1436","home page section count test","chromium","2026-09-01","passed","2026-09-01","","HomePage_WO_Fixtures.spec.ts","",""
"","1997","home page account header test","chromium","2026-09-01","passed","2026-09-01","","HomePage_WO_Fixtures.spec.ts","",""
"","1460","user successful login test","chromium","2026-09-01","passed","2026-09-01","","LoginPage.spec.ts","",""
"","873","login page title test","chromium","2026-09-01","passed","2026-09-01","","LoginPage_WO_Fixtures.spec.ts","",""
"","907","login page url test","chromium","2026-09-01","passed","2026-09-01","","LoginPage_WO_Fixtures.spec.ts","",""
"","2032","home page url test","chromium","2026-09-01","passed","2026-09-01","","HomePage_WO_Fixtures.spec.ts","",""
"","1978","logout link displayed test","chromium","2026-09-01","passed","2026-09-01","","HomePage_WO_Fixtures.spec.ts","",""
"","1404","logout link displayed test","chromium","2026-09-01","passed","2026-09-01","","HomePage.spec.ts","",""
"","968","login page url test","chromium","2026-09-01","passed","2026-09-01","","LoginPage.spec.ts","",""
"","1320","user successful login test","chromium","2026-09-01","passed","2026-09-01","","LoginPage_WO_Fixtures.spec.ts","",""
"","1475","home page section list test","chromium","2026-09-01","passed","2026-09-01","","HomePage.spec.ts","",""
